key,item,path
adamantinebucklerhighgrade,adamantine-buckler-high-grade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-buckler-high-grade.md
adamantinebucklerhighgrade,adamantine-buckler-high-grade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\I\inubrix-buckler-high-grade.md
coldironshieldlowgrade,cold-iron-shield-low-grade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-shield-low-grade.md
coldironshieldlowgrade,cold-iron-shield-low-grade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-shield-standard-grade.md
fishingtackleprofessional,fishing-tackle-professional,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\fishing-tackle-professional.md
fishingtackleprofessional,fishing-tackle-professional,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\F\fishing-tackle.md
